Metabolite	Rep	Peak1	Peak2	Peak3	Peak4	Peak5	Peak6	Peak7	Peak8	Peak9	Peak10
Oxazepam	5	0	0	0	1203188.11	952481.25	2601910.933	412798.12	3176342.7	2224970.625	55560.86526
Phenazepam	5	1321.456489	713.636305	0	608697.58	333046.4994	784191.4483	166708.4602	1655730.298	1141379.258	24402.84461
Pinazepam	5	0	0	0	7938.044036	599982.5213	3559062.65	3292.678815	1291331.763	75547.29801	28178.46306
Prazepam	5	0	0	0	6047262.465	6225912.248	13076753.77	8229056.25	10489669.39	12638976.98	11449439.13
Premazepam	5	1731.691771	0	0	3249680.497	3350442.42	6781561.805	4303224.125	5704852.077	7161861.987	6235622.514
Pyrazolam	5	0	105.387812	0	1057487.558	1143819.563	2227317.46	1268927.813	1759956.607	2285427.285	2031517.802
Quazepam	5	0	0	513.963465	8492.135791	57379.13322	1767221.797	949.8314486	1305370.284	2148117.145	16572.46051
Temazepam	5	759.0911775	0	1394.883733	0	803316.4718	0	5842.993965	9293.556491	358443.7011	11673.14511
Tetrazepam	5	37.17131931	0	0	9291.177014	147390.7705	19517946.86	0	3511495.494	2859705	0
Triazolam	5	0	0	24.86919992	3741.247278	413191.9933	2994832.743	0	866481.209	507103.9743	4083.697463
Alprazolam	6	0	0	0	6303.792016	410509.5409	109884.4639	0	42807.09639	0	891139.744
Bretazenil	6	0	208.551175	519.0110522	6215266.848	9474525.44	24324634.24	5601032.71	16568779.36	18589883.24	12461844.37
Bromazepam	6	1023.682633	0	511.7010374	3380013.536	5034743.872	13604538.67	2831598.77	9293597.26	9908213.21	5980095.54
Brotizolam	6	0	0	0	1007221.3	1631642.432	4314008.676	343541.7739	3000902.484	3403523.27	2094818.473
Chlordiazepoxide	6	0	0	0	4935.187683	693252.7928	124755.475	5994.686239	1323859.185	6170.714536	1845.890867
Cinolazepam	6	0	0	0	155202.48	0	3288977.94	489307.03	138073.8333	504226.415	24984.43667
Clonazepam	6	0	0	0	922952.975	991741.0075	0	255848.74	22581.435	148095.4667	42255
Clorazepate	6	1422.5625	0	0	0	2934795.655	2781321.99	0	756165.73	478788.805	0
Clotiazepam	6	0	0	0	0	0	548389.8	0	0	203209.605	0
Cloxazolam	6	0	0	0	0	532509.945	1594143.28	0	27833.81333	65718.66667	31644.3
Delorazepam	6	0	0	0	374112.8956	123279.9253	0	634131.8448	2052885.136	0	1670826.726
Diazepam	6	0	17.72805371	0	0	3348135.06	0	35470.51818	0	3668.964518	0
Estazolam	6	0	0	0	0	0	71704.89296	0	0	37073.0685	0
Etizolam	6	743.4263862	0	0	8728.894081	14714.49264	16268.06156	3677.936283	125890.9495	17517.70364	9547.403033
Ethyl loflazepate	6	0	0	0	86957.13832	174486.886	131646.2053	69265.05247	359643.125	33644.85017	337984.0127
Flunitrazepam	6	0	0	0	292073.32	66212.14818	42202.50971	417162.95	603899.8	5537.576138	907999.784
Flurazepam	6	0	0	0	174833.12	43680.54364	6333.738963	264102.55	407824.4775	2368.885933	506780.625
Flutoprazepam	6	0	0	0	242785.9	35575.9566	0	183343.6667	257104.3676	0	74583.95037
Halazepam	6	0	0	0	69093.8931	443479.4236	22620.26714	83180.45884	797758.932	405.5857403	539068.71
Ketazolam	6	0	0	0	58367.31807	130401.7473	0	53514.70079	169200.3032	0	215969.3386
Loprazolam	6	0	0	0	0	453405.5274	0	0	0	0	103829.811
Lorazepam	6	0	0	0	0	0	3796028.192	0	124851.5987	379660.008	0
Lormetazepam	6	0	0	0	27454654.31	30387441.42	0	33713925.54	48693499.73	13706.96183	36586361.76
Medazepam	6	0	0	0	15549144.82	19351617.23	2230745.712	18542332.02	31201077.89	0	20565835.68
Midazolam	6	1286.445943	0	0	5517968.928	6794417.152	754930.288	6554056.184	11300986.85	86662.93739	7457530.08
Nimetazepam	6	0	0	0	1347133.45	1649149.175	100700.5736	1855702.472	2799022.525	17058.10108	2061714.72
Nitrazepam	6	0	0	0	61354.26912	113675.8718	11724.88939	79520.34149	549839.8125	0	534223
Nordazepam	6	0	0	0	28854.40477	13233.78296	0	29598.59692	380413.6875	1612.85727	274895.6
Oxazepam	6	0	0	0	293461.63	0	0	292858.86	902120.13	3364.891525	5597.482437
Phenazepam	6	0	0	0	8941.246147	609250.6701	5529.051073	101487.7314	657743.2349	0	461217.75
Pinazepam	6	0	0	174.5096766	0	32091.97819	0	5150.269681	155491.9716	1321.538368	516434.688
Prazepam	6	0	0	0	19637.31297	40734.63835	1623.39919	867.6799628	21376.62225	11236.23296	112069.614
Premazepam	6	0	0	0	2459314.68	3013673.118	0	2529294.026	5669203.344	0	4899843.694
Pyrazolam	6	0	0	0	1185354.15	1963677.992	11318.16296	1891973.392	3310678.896	0	3368819.773
Quazepam	6	0	0	0	562300.1475	486515.0292	4655.741629	368491.768	966288.4725	0	1190231.973
Temazepam	6	0	0	0	202509.1927	716001.867	364.0346864	0	708790.5209	0	114835.9851
Tetrazepam	6	0	0	0	126244.5212	311265.1803	0	68279.49932	0	0	368153.5281
